[2025-04-25 05:19:53] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:20:18] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:21:22] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:22:02] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:22:15] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:22:27] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:22:38] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:23:10] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:23:42] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:23:58] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:24:11] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:24:25] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:24:48] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:25:06] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:25:18] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:25:43] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:25:54] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:26:11] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:26:29] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:26:39] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:26:50] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:27:04] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:27:30] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:27:41] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:28:03] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:28:05] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:28:14] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:30:20] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:30:32] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:30:52] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:31:33] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:31:59] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:32:16] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:32:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:32:37] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:37:41] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:37:57] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:40:20] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:40:43] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:40:54] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:41:07] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:41:23] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:41:40] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:41:51] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:42:03] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:42:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:42:37] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:42:48] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:43:00] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:43:14] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:43:27] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:43:36] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:43:49] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:44:00] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:44:17] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:44:31] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:44:44] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:45:06] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:45:17] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:48:53] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:49:11] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:50:09] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:50:23] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:50:33] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:50:45] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:50:57] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:51:44] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:52:36] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:52:51] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:53:02] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:53:14] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:53:39] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:53:59] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:54:06] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:55:04] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:55:21] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:55:31] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:58:49] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:59:05] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 05:59:22] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:01:00] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:03:38] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:04:05] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:04:17] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:04:40] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:05:38] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:06:39] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:06:51] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:07:04] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:07:28] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:09:15] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:10:08] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:11:00] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:11:22] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:13:01] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:13:13] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 06:13:16] Player 67 is NOT on boss tile, calling getMonsterList
